Name,Date,End Date,Category,Status,Tags,URLs,Description,Location,All Day
いだてん岱明練習,2025-11-15,2025-11-15,予定,scheduled,"ランニング, いだてん岱明練習",,"欠席者 松岡、塚原、高田
動きづくり
土山は900m4本走ったが、生徒によって3+3+3、3+3+2、3+2+2、3+1+1といった具合。間は3分。
村上は3本目を2周。田上は60で3本のラストは上げられていた。松野は最後も3周いった。次回以降は、各自の周回を増やすか、1本目66からの4本目54の3秒ずつ上げなどができれば。塚原は疲労骨折手前だったとのこと。オーバーワークにならずにコツコツと負荷を高めていきたい。

ジョグ 6周 3.26km k/5:08
900m 1本目（300m通過） 300m k/4:00
900m 1本目（300m通過） 300m k/3:58
900m 1本目（300m通過） 300m k/4:06
900m 2本目（300m通過） 300m k/3:39
900m 3本目（300m通過） 300m k/3:21
900m 3本目（300m通過） 300m k/3:14
900m 3本目（300m通過） 300m k/3:20
900m 4本目（300m通過） 300m k/2:59
900m 4本目（300m通過） 300m k/3:06
900m 4本目（300m通過） 300m k/3:02
",,true
永井監督勇退を祝う会MTG,2025-11-15T11:00:00,2025-11-15,予定,scheduled,,,,,false
カフェイン断ち,2025-11-20,2025-11-20,予定,scheduled,,,,,true
熊本県中長距離選手権,2025-11-22,2025-11-22,予定,scheduled,,,,,true
勤労感謝の日,2025-11-23,2025-11-23,祝日,,holiday,,日本の祝日,,true
いだてん岱明練習,2025-11-24,2025-11-24,予定,scheduled,"ランニング, いだてん岱明練習",,"欠席者 松野、塚原、松本
動きづくり
設定にゆとりを持って走れる生徒が多く、そういう生徒は自分より前を走っていた。

ジョグ 6周 3.22km k/5:16
B組 2100m 2100m k/4:00
B組 900m 900m k/3:50
A組 2100m 2100m k/3:40
A組 900m 900m k/3:30
",,true
勤労感謝の日 振替休日,2025-11-24,2025-11-24,祝日,,holiday,,日本の祝日,,true
遅めの400mインターバル,2025-11-26,2025-11-26,予定,done,自分の練習,,10本、84-38-83-36-84-40-84-37-85-41-84-38-85-41-84-40-85-40-84,,true
玉名市民マラソン,2025-11-30,2025-11-30,予定,scheduled,,,,,true
Dさんリモート,2025-12-01,2025-12-01,予定,scheduled,,,,,true
資産,2025-12-01,2025-12-01,予定,scheduled,金額,,"金額: ￥9,730,994",,true
Dさんリモート,2025-12-02,2025-12-02,予定,scheduled,,,,,true
土山リモート,2025-12-03,2025-12-03,予定,scheduled,,,,,true
岱明中県・市学力調査,2025-12-03,2025-12-03,予定,scheduled,,,,,true
Dさんリモート,2025-12-04,2025-12-04,予定,scheduled,,,,,true
いだてん岱明練習,2025-12-06,2025-12-06,予定,scheduled,"ランニング, いだてん岱明練習",,"動きづくり

ジョグ 10周 5.60km (10周) k/5:02
600m×1（57秒/300m組） 600m k/3:10
600m×1（60秒/300m組） 600m k/3:20
600m×1（63秒/300m組） 600m k/3:30
",,true
熊本県長距離記録会,2025-12-06,2025-12-06,予定,scheduled,,,,,true
ナレコム忘年会,2025-12-09T09:30:00,2025-12-09,予定,scheduled,,,,,false
藤本さんリモート,2025-12-10,2025-12-10,予定,scheduled,,,,,true
